month,region,average_rainfall_mm_per_hour
2024-05,South_of_South_Patches,0.3657500445842743
2024-06,Swatch_of_No_Ground,0.7145000696182251
2024-06,Middle_Ground,0.8423200249671936
2024-06,South_Patches,1.041805624961853
2024-06,South_of_South_Patches,1.4755834341049194
2024-07,Swatch_of_No_Ground,1.6544500589370728
2024-07,Middle_Ground,1.7048399448394775
2024-07,South_Patches,2.1649584770202637
2024-07,South_of_South_Patches,2.282083511352539
2024-08,Swatch_of_No_Ground,2.1879000663757324
2024-08,Middle_Ground,2.0551400184631348
2024-08,South_Patches,1.7841110229492188
2024-08,South_of_South_Patches,1.8313332796096802
2024-09,Swatch_of_No_Ground,1.2311500310897827
2024-09,Middle_Ground,1.2355400323867798
2024-09,South_Patches,1.3778612613677979
2024-09,South_of_South_Patches,1.192416787147522
2024-10,Swatch_of_No_Ground,0.3054499924182892
2024-10,Middle_Ground,0.2366200089454651
2024-10,South_Patches,0.3011111319065094
2024-10,South_of_South_Patches,0.29483333230018616
2024-11,Swatch_of_No_Ground,0.06105000525712967
2024-11,Middle_Ground,0.015080000273883343
2024-11,South_Patches,0.01376388967037201
2024-11,South_of_South_Patches,0.011583334766328335
2024-12,Swatch_of_No_Ground,0.014349998906254768
2024-12,Middle_Ground,0.0013000001199543476
2024-12,South_Patches,0.0001944444520631805
2024-12,South_of_South_Patches,0.000416666705859825
2025-01,Swatch_of_No_Ground,0.0
2025-01,Middle_Ground,0.0
2025-01,South_Patches,0.0
2025-01,South_of_South_Patches,0.0
2025-02,Swatch_of_No_Ground,5.0000002374872565e-05
2025-02,Middle_Ground,0.0
2025-02,South_Patches,1.388888995279558e-05
2025-02,South_of_South_Patches,0.0
2025-03,Swatch_of_No_Ground,0.0
2025-03,Middle_Ground,0.0
2025-03,South_Patches,1.388888995279558e-05
2025-03,South_of_South_Patches,0.0
2025-04,Swatch_of_No_Ground,0.023400001227855682
2025-04,Middle_Ground,0.026180002838373184
2025-04,South_Patches,0.06690278649330139
2025-04,South_of_South_Patches,0.05116666853427887
2025-05,Swatch_of_No_Ground,0.7279000282287598
2025-05,Middle_Ground,0.8771000504493713
2025-05,South_Patches,0.8115000128746033
2025-05,South_of_South_Patches,0.7906668186187744
2025-06,Swatch_of_No_Ground,1.4891501665115356
2025-06,Middle_Ground,1.294100046157837
2025-06,South_Patches,1.346500039100647
2025-06,South_of_South_Patches,1.5842499732971191
2025-07,Swatch_of_No_Ground,1.6656500101089478
2025-07,Middle_Ground,1.503480076789856
2025-07,South_Patches,1.5731528997421265
2025-07,South_of_South_Patches,1.9776667356491089
2025-08,Swatch_of_No_Ground,1.0033000707626343
2025-08,Middle_Ground,0.9208000302314758
2025-08,South_Patches,0.6330139636993408
2025-08,South_of_South_Patches,0.6270833611488342
2025-09,Swatch_of_No_Ground,0.6826500296592712
2025-09,Middle_Ground,0.6437599658966064
2025-09,South_Patches,0.6706249713897705
2025-09,South_of_South_Patches,0.7788333892822266
